"Tabela 6773 - Número de estabelecimentos agropecuários e Área dos estabelecimentos agropecuários, por tipologia, condição legal do produtor, residência da pessoa que dirige o estabelecimento, finalidade principal da produção agropecuária do estabelecimento, renda obtida com as atividades desenvolvidas no estabelecimento e associação do produtor à cooperativa e/ou à entidade de classe - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Ano x Tipologia x Condição legal do produtor x Residência da pessoa que dirige o estabelecimento"
"4104600";"Capitão Leônidas Marques (PR)";"Total";"Total";"1";"Total";"22485"
"4104659";"Carambeí (PR)";"Total";"Total";"1";"Total";"39047"
"4104709";"Carlópolis (PR)";"Total";"Total";"1";"Total";"25990"
"4104808";"Cascavel (PR)";"Total";"Total";"1";"Total";"176460"
"4104907";"Castro (PR)";"Total";"Total";"1";"Total";"140569"
"4105003";"Catanduvas (PR)";"Total";"Total";"1";"Total";"53374"
"4105102";"Centenário do Sul (PR)";"Total";"Total";"1";"Total";"36858"
"4105201";"Cerro Azul (PR)";"Total";"Total";"1";"Total";"59991"
"4105300";"Céu Azul (PR)";"Total";"Total";"1";"Total";"32043"
"4105409";"Chopinzinho (PR)";"Total";"Total";"1";"Total";"67907"
"4105508";"Cianorte (PR)";"Total";"Total";"1";"Total";"69879"
"4105607";"Cidade Gaúcha (PR)";"Total";"Total";"1";"Total";"35066"
"4105706";"Clevelândia (PR)";"Total";"Total";"1";"Total";"64711"
"4105805";"Colombo (PR)";"Total";"Total";"1";"Total";"2628"
"4105904";"Colorado (PR)";"Total";"Total";"1";"Total";"34720"
"4106001";"Congonhinhas (PR)";"Total";"Total";"1";"Total";"33931"
"4106100";"Conselheiro Mairinck (PR)";"Total";"Total";"1";"Total";"16494"
"4106209";"Contenda (PR)";"Total";"Total";"1";"Total";"20780"
"4106308";"Corbélia (PR)";"Total";"Total";"1";"Total";"43946"
"4106407";"Cornélio Procópio (PR)";"Total";"Total";"1";"Total";"56355"
"4106456";"Coronel Domingos Soares (PR)";"Total";"Total";"1";"Total";"133330"
"4106506";"Coronel Vivida (PR)";"Total";"Total";"1";"Total";"55680"
"4106555";"Corumbataí do Sul (PR)";"Total";"Total";"1";"Total";"13063"
"4106571";"Cruzeiro do Iguaçu (PR)";"Total";"Total";"1";"Total";"14593"
"4106605";"Cruzeiro do Oeste (PR)";"Total";"Total";"1";"Total";"70483"
"4106704";"Cruzeiro do Sul (PR)";"Total";"Total";"1";"Total";"22019"
"4106803";"Cruz Machado (PR)";"Total";"Total";"1";"Total";"111237"
"4106852";"Cruzmaltina (PR)";"Total";"Total";"1";"Total";"26110"
"4106902";"Curitiba (PR)";"Total";"Total";"1";"Total";"745"
"4107009";"Curiúva (PR)";"Total";"Total";"1";"Total";"47402"
"4107108";"Diamante do Norte (PR)";"Total";"Total";"1";"Total";"18436"
"4107124";"Diamante do Sul (PR)";"Total";"Total";"1";"Total";"29921"
"4107157";"Diamante D'Oeste (PR)";"Total";"Total";"1";"Total";"27952"
"4107207";"Dois Vizinhos (PR)";"Total";"Total";"1";"Total";"34872"
"4107256";"Douradina (PR)";"Total";"Total";"1";"Total";"41105"
"4107306";"Doutor Camargo (PR)";"Total";"Total";"1";"Total";"9056"
"4107405";"Enéas Marques (PR)";"Total";"Total";"1";"Total";"15873"
"4107504";"Engenheiro Beltrão (PR)";"Total";"Total";"1";"Total";"43156"
"4107520";"Esperança Nova (PR)";"Total";"Total";"1";"Total";"13157"
"4107538";"Entre Rios do Oeste (PR)";"Total";"Total";"1";"Total";"7543"
"4107546";"Espigão Alto do Iguaçu (PR)";"Total";"Total";"1";"Total";"22036"
"4107553";"Farol (PR)";"Total";"Total";"1";"Total";"25867"
"4107603";"Faxinal (PR)";"Total";"Total";"1";"Total";"48477"
"4107652";"Fazenda Rio Grande (PR)";"Total";"Total";"1";"Total";"1395"
"4107702";"Fênix (PR)";"Total";"Total";"1";"Total";"19803"
"4107736";"Fernandes Pinheiro (PR)";"Total";"Total";"1";"Total";"28119"
"4107751";"Figueira (PR)";"Total";"Total";"1";"Total";"10290"
"4107801";"Floraí (PR)";"Total";"Total";"1";"Total";"18289"
"4107850";"Flor da Serra do Sul (PR)";"Total";"Total";"1";"Total";"20957"
"4107900";"Floresta (PR)";"Total";"Total";"1";"Total";"12367"
"4108007";"Florestópolis (PR)";"Total";"Total";"1";"Total";"15896"
"4108106";"Flórida (PR)";"Total";"Total";"1";"Total";"7668"
"4108205";"Formosa do Oeste (PR)";"Total";"Total";"1";"Total";"24179"
"4108304";"Foz do Iguaçu (PR)";"Total";"Total";"1";"Total";"13544"
"4108320";"Francisco Alves (PR)";"Total";"Total";"1";"Total";"32632"
"4108403";"Francisco Beltrão (PR)";"Total";"Total";"1";"Total";"58359"
"4108452";"Foz do Jordão (PR)";"Total";"Total";"1";"Total";"25721"
"4108502";"General Carneiro (PR)";"Total";"Total";"1";"Total";"101929"
"4108551";"Godoy Moreira (PR)";"Total";"Total";"1";"Total";"9983"
"4108601";"Goioerê (PR)";"Total";"Total";"1";"Total";"41917"
"4108650";"Goioxim (PR)";"Total";"Total";"1";"Total";"47570"
"4108700";"Grandes Rios (PR)";"Total";"Total";"1";"Total";"27913"
"4108809";"Guaíra (PR)";"Total";"Total";"1";"Total";"33443"
"4108908";"Guairaçá (PR)";"Total";"Total";"1";"Total";"47417"
"4108957";"Guamiranga (PR)";"Total";"Total";"1";"Total";"17335"
"4109005";"Guapirama (PR)";"Total";"Total";"1";"Total";"17778"
"4109104";"Guaporema (PR)";"Total";"Total";"1";"Total";"16941"
"4109203";"Guaraci (PR)";"Total";"Total";"1";"Total";"18764"
"4109302";"Guaraniaçu (PR)";"Total";"Total";"1";"Total";"114856"
"4109401";"Guarapuava (PR)";"Total";"Total";"1";"Total";"207561"
"4109500";"Guaraqueçaba (PR)";"Total";"Total";"1";"Total";"20140"
"4109609";"Guaratuba (PR)";"Total";"Total";"1";"Total";"25190"
"4109658";"Honório Serpa (PR)";"Total";"Total";"1";"Total";"49491"
"4109708";"Ibaiti (PR)";"Total";"Total";"1";"Total";"71640"
"4109757";"Ibema (PR)";"Total";"Total";"1";"Total";"15744"
"4109807";"Ibiporã (PR)";"Total";"Total";"1";"Total";"19594"
"4109906";"Icaraíma (PR)";"Total";"Total";"1";"Total";"57515"
"4110003";"Iguaraçu (PR)";"Total";"Total";"1";"Total";"15151"
"4110052";"Iguatu (PR)";"Total";"Total";"1";"Total";"8976"
"4110078";"Imbaú (PR)";"Total";"Total";"1";"Total";"22701"
"4110102";"Imbituva (PR)";"Total";"Total";"1";"Total";"48211"
"4110201";"Inácio Martins (PR)";"Total";"Total";"1";"Total";"61214"
"4110300";"Inajá (PR)";"Total";"Total";"1";"Total";"14824"
"4110409";"Indianópolis (PR)";"Total";"Total";"1";"Total";"9219"
"4110508";"Ipiranga (PR)";"Total";"Total";"1";"Total";"57110"
"4110607";"Iporã (PR)";"Total";"Total";"1";"Total";"61349"
"4110656";"Iracema do Oeste (PR)";"Total";"Total";"1";"Total";"7651"
"4110706";"Irati (PR)";"Total";"Total";"1";"Total";"73375"
"4110805";"Iretama (PR)";"Total";"Total";"1";"Total";"46120"
"4110904";"Itaguajé (PR)";"Total";"Total";"1";"Total";"15217"
"4110953";"Itaipulândia (PR)";"Total";"Total";"1";"Total";"13267"
"4111001";"Itambaracá (PR)";"Total";"Total";"1";"Total";"19020"
"4111100";"Itambé (PR)";"Total";"Total";"1";"Total";"19635"
"4111209";"Itapejara d'Oeste (PR)";"Total";"Total";"1";"Total";"21204"
"4111258";"Itaperuçu (PR)";"Total";"Total";"1";"Total";"19626"
"4111308";"Itaúna do Sul (PR)";"Total";"Total";"1";"Total";"12674"
"4111407";"Ivaí (PR)";"Total";"Total";"1";"Total";"39478"
"4111506";"Ivaiporã (PR)";"Total";"Total";"1";"Total";"34807"
"4111555";"Ivaté (PR)";"Total";"Total";"1";"Total";"35556"
"4111605";"Ivatuba (PR)";"Total";"Total";"1";"Total";"8006"
"4111704";"Jaboti (PR)";"Total";"Total";"1";"Total";"8845"
"4111803";"Jacarezinho (PR)";"Total";"Total";"1";"Total";"49769"
"4111902";"Jaguapitã (PR)";"Total";"Total";"1";"Total";"40436"
"4112009";"Jaguariaíva (PR)";"Total";"Total";"1";"Total";"111610"
"4112108";"Jandaia do Sul (PR)";"Total";"Total";"1";"Total";"11774"
"4112207";"Janiópolis (PR)";"Total";"Total";"1";"Total";"27459"
"4112306";"Japira (PR)";"Total";"Total";"1";"Total";"17593"
"4112405";"Japurá (PR)";"Total";"Total";"1";"Total";"15983"
"4112504";"Jardim Alegre (PR)";"Total";"Total";"1";"Total";"38303"
"4112603";"Jardim Olinda (PR)";"Total";"Total";"1";"Total";"12365"
"4112702";"Jataizinho (PR)";"Total";"Total";"1";"Total";"13524"
"4112751";"Jesuítas (PR)";"Total";"Total";"1";"Total";"18847"
"4112801";"Joaquim Távora (PR)";"Total";"Total";"1";"Total";"27327"
"4112900";"Jundiaí do Sul (PR)";"Total";"Total";"1";"Total";"30397"
"4112959";"Juranda (PR)";"Total";"Total";"1";"Total";"30187"
"4113007";"Jussara (PR)";"Total";"Total";"1";"Total";"18223"
"4113106";"Kaloré (PR)";"Total";"Total";"1";"Total";"17569"
"4113205";"Lapa (PR)";"Total";"Total";"1";"Total";"116743"
"4113254";"Laranjal (PR)";"Total";"Total";"1";"Total";"48535"
"4113304";"Laranjeiras do Sul (PR)";"Total";"Total";"1";"Total";"58099"
"4113403";"Leópolis (PR)";"Total";"Total";"1";"Total";"27585"
"4113429";"Lidianópolis (PR)";"Total";"Total";"1";"Total";"10922"
"4113452";"Lindoeste (PR)";"Total";"Total";"1";"Total";"29664"
"4113502";"Loanda (PR)";"Total";"Total";"1";"Total";"60781"
"4113601";"Lobato (PR)";"Total";"Total";"1";"Total";"22892"
"4113700";"Londrina (PR)";"Total";"Total";"1";"Total";"114654"
"4113734";"Luiziana (PR)";"Total";"Total";"1";"Total";"84963"
"4113759";"Lunardelli (PR)";"Total";"Total";"1";"Total";"16948"
"4113809";"Lupionópolis (PR)";"Total";"Total";"1";"Total";"10328"
"4113908";"Mallet (PR)";"Total";"Total";"1";"Total";"45288"
"4114005";"Mamborê (PR)";"Total";"Total";"1";"Total";"70624"
"4114104";"Mandaguaçu (PR)";"Total";"Total";"1";"Total";"23732"
"4114203";"Mandaguari (PR)";"Total";"Total";"1";"Total";"24632"
"4114302";"Mandirituba (PR)";"Total";"Total";"1";"Total";"15708"
"4114351";"Manfrinópolis (PR)";"Total";"Total";"1";"Total";"19382"
"4114401";"Mangueirinha (PR)";"Total";"Total";"1";"Total";"77046"
"4114500";"Manoel Ribas (PR)";"Total";"Total";"1";"Total";"45035"
"4114609";"Marechal Cândido Rondon (PR)";"Total";"Total";"1";"Total";"52744"
"4114708";"Maria Helena (PR)";"Total";"Total";"1";"Total";"44473"
"4114807";"Marialva (PR)";"Total";"Total";"1";"Total";"35746"
"4114906";"Marilândia do Sul (PR)";"Total";"Total";"1";"Total";"34166"
"4115002";"Marilena (PR)";"Total";"Total";"1";"Total";"18616"
"4115101";"Mariluz (PR)";"Total";"Total";"1";"Total";"34489"
"4115200";"Maringá (PR)";"Total";"Total";"1";"Total";"29516"
"4115309";"Mariópolis (PR)";"Total";"Total";"1";"Total";"21019"
"4115358";"Maripá (PR)";"Total";"Total";"1";"Total";"25294"
"4115408";"Marmeleiro (PR)";"Total";"Total";"1";"Total";"31380"
"4115457";"Marquinho (PR)";"Total";"Total";"1";"Total";"49334"
"4115507";"Marumbi (PR)";"Total";"Total";"1";"Total";"16296"
"4115606";"Matelândia (PR)";"Total";"Total";"1";"Total";"34144"
"4115705";"Matinhos (PR)";"Total";"Total";"1";"Total";"88"
"4115739";"Mato Rico (PR)";"Total";"Total";"1";"Total";"31609"
"4115754";"Mauá da Serra (PR)";"Total";"Total";"1";"Total";"6805"
"4115804";"Medianeira (PR)";"Total";"Total";"1";"Total";"30239"
"4115853";"Mercedes (PR)";"Total";"Total";"1";"Total";"14933"
"4115903";"Mirador (PR)";"Total";"Total";"1";"Total";"20850"
"4116000";"Miraselva (PR)";"Total";"Total";"1";"Total";"6029"
"4116059";"Missal (PR)";"Total";"Total";"1";"Total";"26953"
"4116109";"Moreira Sales (PR)";"Total";"Total";"1";"Total";"26817"
"4116208";"Morretes (PR)";"Total";"Total";"1";"Total";"11939"
"4116307";"Munhoz de Melo (PR)";"Total";"Total";"1";"Total";"12073"
"4116406";"Nossa Senhora das Graças (PR)";"Total";"Total";"1";"Total";"17405"
"4116505";"Nova Aliança do Ivaí (PR)";"Total";"Total";"1";"Total";"12654"
"4116604";"Nova América da Colina (PR)";"Total";"Total";"1";"Total";"7993"
"4116703";"Nova Aurora (PR)";"Total";"Total";"1";"Total";"37677"
"4116802";"Nova Cantu (PR)";"Total";"Total";"1";"Total";"47693"
"4116901";"Nova Esperança (PR)";"Total";"Total";"1";"Total";"33134"
"4116950";"Nova Esperança do Sudoeste (PR)";"Total";"Total";"1";"Total";"18971"
"4117008";"Nova Fátima (PR)";"Total";"Total";"1";"Total";"21539"
"4117057";"Nova Laranjeiras (PR)";"Total";"Total";"1";"Total";"84934"
"4117107";"Nova Londrina (PR)";"Total";"Total";"1";"Total";"23574"
"4117206";"Nova Olímpia (PR)";"Total";"Total";"1";"Total";"12329"
"4117214";"Nova Santa Bárbara (PR)";"Total";"Total";"1";"Total";"4547"
"4117222";"Nova Santa Rosa (PR)";"Total";"Total";"1";"Total";"15604"
"4117255";"Nova Prata do Iguaçu (PR)";"Total";"Total";"1";"Total";"28496"
"4117271";"Nova Tebas (PR)";"Total";"Total";"1";"Total";"48560"
"4117297";"Novo Itacolomi (PR)";"Total";"Total";"1";"Total";"10924"
"4117305";"Ortigueira (PR)";"Total";"Total";"1";"Total";"208814"
"4117404";"Ourizona (PR)";"Total";"Total";"1";"Total";"15944"
"4117453";"Ouro Verde do Oeste (PR)";"Total";"Total";"1";"Total";"27748"
"4117503";"Paiçandu (PR)";"Total";"Total";"1";"Total";"14066"
"4117602";"Palmas (PR)";"Total";"Total";"1";"Total";"138912"
"4117701";"Palmeira (PR)";"Total";"Total";"1";"Total";"111542"
"4117800";"Palmital (PR)";"Total";"Total";"1";"Total";"74773"
"4117909";"Palotina (PR)";"Total";"Total";"1";"Total";"64436"
"4118006";"Paraíso do Norte (PR)";"Total";"Total";"1";"Total";"18074"
"4118105";"Paranacity (PR)";"Total";"Total";"1";"Total";"27839"
"4118204";"Paranaguá (PR)";"Total";"Total";"1";"Total";"2474"
"4118303";"Paranapoema (PR)";"Total";"Total";"1";"Total";"16384"
"4118402";"Paranavaí (PR)";"Total";"Total";"1";"Total";"106114"
"4118451";"Pato Bragado (PR)";"Total";"Total";"1";"Total";"6911"
"4118501";"Pato Branco (PR)";"Total";"Total";"1";"Total";"44102"
"4118600";"Paula Freitas (PR)";"Total";"Total";"1";"Total";"28247"
"4118709";"Paulo Frontin (PR)";"Total";"Total";"1";"Total";"27308"
"4118808";"Peabiru (PR)";"Total";"Total";"1";"Total";"42382"
"4118857";"Perobal (PR)";"Total";"Total";"1";"Total";"37988"
"4118907";"Pérola (PR)";"Total";"Total";"1";"Total";"20742"
"4119004";"Pérola d'Oeste (PR)";"Total";"Total";"1";"Total";"18437"
"4119103";"Piên (PR)";"Total";"Total";"1";"Total";"17864"
"4119152";"Pinhais (PR)";"Total";"Total";"1";"Total";"970"
"4119202";"Pinhalão (PR)";"Total";"Total";"1";"Total";"14477"
"4119251";"Pinhal de São Bento (PR)";"Total";"Total";"1";"Total";"9320"
"4119301";"Pinhão (PR)";"Total";"Total";"1";"Total";"134909"
"4119400";"Piraí do Sul (PR)";"Total";"Total";"1";"Total";"107494"
"4119509";"Piraquara (PR)";"Total";"Total";"1";"Total";"5265"
"4119608";"Pitanga (PR)";"Total";"Total";"1";"Total";"130423"
"4119657";"Pitangueiras (PR)";"Total";"Total";"1";"Total";"11901"
"4119707";"Planaltina do Paraná (PR)";"Total";"Total";"1";"Total";"32427"
"4119806";"Planalto (PR)";"Total";"Total";"1";"Total";"29759"
"4119905";"Ponta Grossa (PR)";"Total";"Total";"1";"Total";"141936"
"4119954";"Pontal do Paraná (PR)";"Total";"Total";"1";"Total";"405"
"4120002";"Porecatu (PR)";"Total";"Total";"1";"Total";"29708"
"4120101";"Porto Amazonas (PR)";"Total";"Total";"1";"Total";"12939"
"4120150";"Porto Barreiro (PR)";"Total";"Total";"1";"Total";"29047"
"4120200";"Porto Rico (PR)";"Total";"Total";"1";"Total";"14393"
"4120309";"Porto Vitória (PR)";"Total";"Total";"1";"Total";"16475"
"4120333";"Prado Ferreira (PR)";"Total";"Total";"1";"Total";"12890"
"4120358";"Pranchita (PR)";"Total";"Total";"1";"Total";"19121"
"4120408";"Presidente Castelo Branco (PR)";"Total";"Total";"1";"Total";"14512"
"4120507";"Primeiro de Maio (PR)";"Total";"Total";"1";"Total";"23282"
"4120606";"Prudentópolis (PR)";"Total";"Total";"1";"Total";"143313"
"4120655";"Quarto Centenário (PR)";"Total";"Total";"1";"Total";"22905"
"4120705";"Quatiguá (PR)";"Total";"Total";"1";"Total";"10593"
"4120804";"Quatro Barras (PR)";"Total";"Total";"1";"Total";"3865"
"4120853";"Quatro Pontes (PR)";"Total";"Total";"1";"Total";"9339"
"4120903";"Quedas do Iguaçu (PR)";"Total";"Total";"1";"Total";"80570"
"4121000";"Querência do Norte (PR)";"Total";"Total";"1";"Total";"70160"
"4121109";"Quinta do Sol (PR)";"Total";"Total";"1";"Total";"30046"
"4121208";"Quitandinha (PR)";"Total";"Total";"1";"Total";"23064"
"4121257";"Ramilândia (PR)";"Total";"Total";"1";"Total";"23199"
"4121307";"Rancho Alegre (PR)";"Total";"Total";"1";"Total";"11609"
"4121356";"Rancho Alegre D'Oeste (PR)";"Total";"Total";"1";"Total";"22024"
"4121406";"Realeza (PR)";"Total";"Total";"1";"Total";"33767"
"4121505";"Rebouças (PR)";"Total";"Total";"1";"Total";"31268"
"4121604";"Renascença (PR)";"Total";"Total";"1";"Total";"37665"
"4121703";"Reserva (PR)";"Total";"Total";"1";"Total";"98317"
"4121752";"Reserva do Iguaçu (PR)";"Total";"Total";"1";"Total";"44126"
"4121802";"Ribeirão Claro (PR)";"Total";"Total";"1";"Total";"41594"
"4121901";"Ribeirão do Pinhal (PR)";"Total";"Total";"1";"Total";"28897"
"4122008";"Rio Azul (PR)";"Total";"Total";"1";"Total";"35241"
"4122107";"Rio Bom (PR)";"Total";"Total";"1";"Total";"14649"
"4122156";"Rio Bonito do Iguaçu (PR)";"Total";"Total";"1";"Total";"44971"
"4122172";"Rio Branco do Ivaí (PR)";"Total";"Total";"1";"Total";"29266"
"4122206";"Rio Branco do Sul (PR)";"Total";"Total";"1";"Total";"29961"
"4122305";"Rio Negro (PR)";"Total";"Total";"1";"Total";"37895"
"4122404";"Rolândia (PR)";"Total";"Total";"1";"Total";"32668"
"4122503";"Roncador (PR)";"Total";"Total";"1";"Total";"59625"
"4122602";"Rondon (PR)";"Total";"Total";"1";"Total";"44058"
"4122651";"Rosário do Ivaí (PR)";"Total";"Total";"1";"Total";"32617"
"4122701";"Sabáudia (PR)";"Total";"Total";"1";"Total";"17285"
"4122800";"Salgado Filho (PR)";"Total";"Total";"1";"Total";"18106"
"4122909";"Salto do Itararé (PR)";"Total";"Total";"1";"Total";"14364"
"4123006";"Salto do Lontra (PR)";"Total";"Total";"1";"Total";"27785"
"4123105";"Santa Amélia (PR)";"Total";"Total";"1";"Total";"6799"
"4123204";"Santa Cecília do Pavão (PR)";"Total";"Total";"1";"Total";"8417"
"4123303";"Santa Cruz de Monte Castelo (PR)";"Total";"Total";"1";"Total";"29889"
"4123402";"Santa Fé (PR)";"Total";"Total";"1";"Total";"25745"
"4123501";"Santa Helena (PR)";"Total";"Total";"1";"Total";"40910"
"4123600";"Santa Inês (PR)";"Total";"Total";"1";"Total";"10732"
"4123709";"Santa Isabel do Ivaí (PR)";"Total";"Total";"1";"Total";"29186"
"4123808";"Santa Izabel do Oeste (PR)";"Total";"Total";"1";"Total";"28900"
"4123824";"Santa Lúcia (PR)";"Total";"Total";"1";"Total";"12658"
"4123857";"Santa Maria do Oeste (PR)";"Total";"Total";"1";"Total";"68554"
"4123907";"Santa Mariana (PR)";"Total";"Total";"1";"Total";"38219"
"4123956";"Santa Mônica (PR)";"Total";"Total";"1";"Total";"26763"
"4124004";"Santana do Itararé (PR)";"Total";"Total";"1";"Total";"21156"
"4124020";"Santa Tereza do Oeste (PR)";"Total";"Total";"1";"Total";"27287"
"4124053";"Santa Terezinha de Itaipu (PR)";"Total";"Total";"1";"Total";"20248"
"4124103";"Santo Antônio da Platina (PR)";"Total";"Total";"1";"Total";"58655"
"4124202";"Santo Antônio do Caiuá (PR)";"Total";"Total";"1";"Total";"20626"
"4124301";"Santo Antônio do Paraíso (PR)";"Total";"Total";"1";"Total";"13958"
"4124400";"Santo Antônio do Sudoeste (PR)";"Total";"Total";"1";"Total";"27726"
"4124509";"Santo Inácio (PR)";"Total";"Total";"1";"Total";"27279"
"4124608";"São Carlos do Ivaí (PR)";"Total";"Total";"1";"Total";"21670"
"4124707";"São Jerônimo da Serra (PR)";"Total";"Total";"1";"Total";"58420"
"4124806";"São João (PR)";"Total";"Total";"1";"Total";"32487"
"4124905";"São João do Caiuá (PR)";"Total";"Total";"1";"Total";"31006"
"4125001";"São João do Ivaí (PR)";"Total";"Total";"1";"Total";"29350"
"4125100";"São João do Triunfo (PR)";"Total";"Total";"1";"Total";"36760"
"4125209";"São Jorge d'Oeste (PR)";"Total";"Total";"1";"Total";"29497"
"4125308";"São Jorge do Ivaí (PR)";"Total";"Total";"1";"Total";"30719"
"4125357";"São Jorge do Patrocínio (PR)";"Total";"Total";"1";"Total";"19218"
"4125407";"São José da Boa Vista (PR)";"Total";"Total";"1";"Total";"35201"
"4125456";"São José das Palmeiras (PR)";"Total";"Total";"1";"Total";"18163"
"4125506";"São José dos Pinhais (PR)";"Total";"Total";"1";"Total";"21954"
"4125555";"São Manoel do Paraná (PR)";"Total";"Total";"1";"Total";"9036"
"4125605";"São Mateus do Sul (PR)";"Total";"Total";"1";"Total";"84979"
"4125704";"São Miguel do Iguaçu (PR)";"Total";"Total";"1";"Total";"60454"
"4125753";"São Pedro do Iguaçu (PR)";"Total";"Total";"1";"Total";"25137"
"4125803";"São Pedro do Ivaí (PR)";"Total";"Total";"1";"Total";"25934"
"4125902";"São Pedro do Paraná (PR)";"Total";"Total";"1";"Total";"22617"
"4126009";"São Sebastião da Amoreira (PR)";"Total";"Total";"1";"Total";"16331"
"4126108";"São Tomé (PR)";"Total";"Total";"1";"Total";"19187"
"4126207";"Sapopema (PR)";"Total";"Total";"1";"Total";"57564"
"4126256";"Sarandi (PR)";"Total";"Total";"1";"Total";"6515"
"4126272";"Saudade do Iguaçu (PR)";"Total";"Total";"1";"Total";"11945"
"4126306";"Sengés (PR)";"Total";"Total";"1";"Total";"126266"
"4126355";"Serranópolis do Iguaçu (PR)";"Total";"Total";"1";"Total";"16361"
"4126405";"Sertaneja (PR)";"Total";"Total";"1";"Total";"34177"
"4126504";"Sertanópolis (PR)";"Total";"Total";"1";"Total";"38921"
"4126603";"Siqueira Campos (PR)";"Total";"Total";"1";"Total";"19180"
"4126652";"Sulina (PR)";"Total";"Total";"1";"Total";"15836"
"4126678";"Tamarana (PR)";"Total";"Total";"1";"Total";"36683"
"4126702";"Tamboara (PR)";"Total";"Total";"1";"Total";"15793"
"4126801";"Tapejara (PR)";"Total";"Total";"1";"Total";"53357"
"4126900";"Tapira (PR)";"Total";"Total";"1";"Total";"42722"
"4127007";"Teixeira Soares (PR)";"Total";"Total";"1";"Total";"58369"
"4127106";"Telêmaco Borba (PR)";"Total";"Total";"1";"Total";"85888"
